delta2_no_users,delta2_none,delta3_no_users,delta3_none
has_polite,UNIGRAM_release,UNIGRAM_disagree,"BIGRAM_('You', 'may')"
UNIGRAM_leave,UNIGRAM_Have,"BIGRAM_('far', 'as')",has_content_repeat
"BIGRAM_('has', 'a')",UNIGRAM_incorrect,last_three_has_greetings,UNIGRAM_both
UNIGRAM_section,"BIGRAM_('page', 'to')",UNIGRAM_Well,"BIGRAM_('as', 'the')"
negative_decrease,UNIGRAM_move,UNIGRAM_both,UNIGRAM_necessary
"BIGRAM_('for', 'a')","BIGRAM_('wiki_link', ':')",UNIGRAM_'',time_gap_entropy
UNIGRAM_statements,"BIGRAM_('the', 'section')","BIGRAM_('I', 'thought')",UNIGRAM_meant
has_content_repeat,has_content_repeat,"BIGRAM_('you', 'think')","BIGRAM_('to', 'your')"
"BIGRAM_('Thanks', 'for')",time_gap_entropy,has_content_repeat,"BIGRAM_('you', 'for')"
"BIGRAM_(""'"", ""''"")","BIGRAM_('removed', 'the')",positive_increase,UNIGRAM_link
UNIGRAM_'',UNIGRAM_'',UNIGRAM_request,positive_increase
positive_increase,positive_increase,"BIGRAM_(""'"", ""''"")","BIGRAM_(""'"", ""''"")"
no_users,"BIGRAM_(""'"", ""''"")",graph_feature_triad1,UNIGRAM_''
time_gap_entropy,graph_feature_triad1,time_gap_entropy,graph_feature_triad1
graph_feature_triad1,no_users,last_three_has_modification,no_users
last_three_has_modification,has_modification,no_users,has_modification
has_modification,last_three_has_modification,has_modification,last_three_has_modification
repeat_percentage,repeat_percentage,repeat_percentage,repeat_percentage
max_time_gap,graph_feature_triad0,max_time_gap,graph_feature_triad0
graph_feature_triad0,max_time_gap,graph_feature_triad0,max_time_gap
